alpha,arm,assigned_cell_coverage,completeness,dataset,exact_lca_accuracy,false_novel_rate,fn,fp,fragmentation_mean_clusters_per_type,full_prednovel_ami,full_prednovel_ari,full_prednovel_na_reason,full_prednovel_nmi,gt_mapping_coverage,homogeneity,joint_correct_known,joint_correct_known_n,known_contamination,known_retention,lcc_assigned_cells,lcc_assigned_clusters,lcc_eligible_cells,lcc_eligible_clusters,lcc_yield,lineage_U,lineage_assigned_evaluable_n,lineage_compatible_n,lineage_eligible_evaluable_n,lineage_mean_shortest_path,lineage_q_cell_weighted,lineage_q_cluster_macro,lineage_status,lineage_utility_numerator,merging_mean_types_per_cluster,n_known,n_novel,n_target,novelty_ap,novelty_auroc,novelty_threshold,over_specific_n,pred_novel_fraction,pred_novel_n,predicted_cluster_count,protocol_sha256,ranking_na_reason,retained_known_accuracy,run_id,seed,selective_known_risk,split_sha256,status,threshold_f1,threshold_precision,threshold_recall,tn,tp,under_specific_n
7.799212682247162,REAL_CL,0.3298123269408266,0.4994765956460836,Cao,0.125,0.3176493944808418,320,1600,9.083333333333334,0.6132908074042235,0.2821333774498775,,0.6156563623569694,1.0,0.8022658178836625,0.6805638276752035,3428,0.16408573479643113,0.6823506055191583,3216,8,9751,25,0.32,0.2727720233822172,3216,2892,9751,1.0143034825870647,0.8992537313432836,0.8081444518573062,EVALUABLE,2659.7999999999997,4.36,5037,8471,13508,0.9774431695137638,0.954922488705759,-7.799212682247162,0,0.7218685223571217,9751,25,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9973814372999709,P0_Cao_s101_REAL_CL,101,0.002618562700029095,5b8b3ae4538f453ef3fd3380a7331d7363169d99111a548c526a27a2175b7d62,COMPLETE,0.8946328613763582,0.8359142652035688,0.9622240585527092,3437,8151,1095
7.789497995376587,DEPTH_SHUFFLED_CL,0.1680392156862745,0.5309485769143547,Cao,0.0,0.39944411355965853,283,2012,8.75,0.641790046723914,0.31790425705305747,,0.6437626371502345,1.0,0.817451902274742,0.5991661703394878,3018,0.19725490196078432,0.6005558864403415,1714,3,10200,24,0.125,0.11298039215686273,1714,1160,10200,1.4579929988331388,0.676779463243874,0.4046438075295555,EVALUABLE,1152.3999999999999,4.375,5037,8471,13508,0.97759586363547,0.9546835298146801,-7.789497995376587,0,0.7551080840983121,10200,24,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9976859504132232,P0_Cao_s101_DEPTH_SHUFFLED_CL,101,0.0023140495867768596,5b8b3ae4538f453ef3fd3380a7331d7363169d99111a548c526a27a2175b7d62,COMPLETE,0.8770821059396926,0.8027450980392157,0.9665919017825523,3025,8188,347
7.474557352066039,GENERIC_STAR,0.0,0.5050243515733225,Cao,,0.2705975779233671,262,1363,8.5,0.6163505548739717,0.2965216925538272,,0.6183518805634224,1.0,0.797256294973741,0.7274171133611277,3664,0.14239448391140827,0.7294024220766329,0,0,9572,21,0.0,,0,0,9572,,,,not_applicable_synthetic,,4.857142857142857,5037,8471,13508,0.9811167628880617,0.9632372198768893,-7.474557352066039,0,0.7086171157832396,9572,21,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9972781709308656,P0_Cao_s101_GENERIC_STAR,101,0.0027218290691344584,5b8b3ae4538f453ef3fd3380a7331d7363169d99111a548c526a27a2175b7d62,COMPLETE,0.9099373718339522,0.8576055160885917,0.9690709479400307,3674,8209,0
7.997174954414367,REAL_CL,0.0,0.6004157375944382,Quake_10x,,0.1250958148091369,42,1632,5.625,0.711161821470911,0.32029959568222727,,0.7135251904575082,1.0,0.879142680782216,0.8730645408554346,11390,0.08738955823293172,0.8749041851908631,0,0,18675,35,0.0,0.0,0,0,18675,,,,EVALUABLE,0.0,3.857142857142857,13046,17085,30131,0.9982460521567994,0.9975337621440014,-7.997174954414367,0,0.6197935680860244,18675,35,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9978973190818293,P0_Quake_10x_s101_REAL_CL,101,0.0021026809181706675,8858d7548750cd22759b8be91706e0afbbbb30c057ed14cd8bb53390acfe7cea,COMPLETE,0.9531879194630872,0.9126104417670683,0.9975417032484636,11414,17043,0
7.998794257640839,DEPTH_SHUFFLED_CL,0.0007511535572486319,0.6192319087481365,Quake_10x,0.0,0.12340947416832745,57,1610,5.458333333333333,0.725618876849754,0.3650253855921218,,0.7278365510485708,1.0,0.8826391506624082,0.8745975778016251,11410,0.08638265908359266,0.8765905258316725,14,1,18638,34,0.029411764705882353,0.0,14,0,18638,4.0,0.0,0.0,EVALUABLE,0.0,3.8529411764705883,13046,17085,30131,0.9982092151951427,0.9974668325415336,-7.998794257640839,0,0.6185655968935647,18638,34,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9977264777894369,P0_Quake_10x_s101_DEPTH_SHUFFLED_CL,101,0.002273522210563134,8858d7548750cd22759b8be91706e0afbbbb30c057ed14cd8bb53390acfe7cea,COMPLETE,0.9533353861657755,0.9136173409164073,0.9966637401229148,11436,17028,0
7.8183704853057865,GENERIC_STAR,0.0,0.6197920466243786,Quake_10x,,0.12233634830599417,56,1596,5.291666666666667,0.7250919575108433,0.36186853816877756,,0.727279605284664,1.0,0.8798714936480225,0.8759006592058869,11427,0.08569127516778524,0.8776636516940058,0,0,18625,33,0.0,,0,0,18625,,,,not_applicable_synthetic,,3.8484848484848486,13046,17085,30131,0.9981594834004379,0.9973685019276919,-7.8183704853057865,0,0.6181341475556735,18625,33,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9979912663755458,P0_Quake_10x_s101_GENERIC_STAR,101,0.0020087336244541485,8858d7548750cd22759b8be91706e0afbbbb30c057ed14cd8bb53390acfe7cea,COMPLETE,0.9537384486138336,0.9143087248322148,0.9967222709979514,11450,17029,0
7.754351687431335,REAL_CL,0.0,0.8227480667936509,Quake_Smart-seq2,,0.22985347985347984,587,1757,4.966666666666667,0.8386712706496228,0.8650821272653604,,0.8403761999416532,1.0,0.8587762704502837,0.7621664050235479,5826,0.11223251357393804,0.7701465201465202,0,0,15655,31,0.0,0.0,0,0,15655,,,,EVALUABLE,0.0,4.806451612903226,7644,14485,22129,0.9775633518446161,0.9561940779604374,-7.754351687431335,0,0.7074427222197117,15655,31,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9896381858331917,P0_Quake_Smart-seq2_s101_REAL_CL,101,0.010361814166808222,b44f7da30b98fde99763e41ac9f7755bffd0d29ca8b48f4c579e2174bd6e8ea8,COMPLETE,0.922229595222296,0.887767486426062,0.9594753192958233,5887,13898,0
7.753074204921722,DEPTH_SHUFFLED_CL,0.0,0.8310292210462081,Quake_Smart-seq2,,0.23377812663526948,606,1787,4.9,0.8396366902294438,0.8593421638518098,,0.841321700364819,1.0,0.8518723261148933,0.7587650444793302,5800,0.1140686837737776,0.7662218733647305,0,0,15666,31,0.0,0.0,0,0,15666,,,,EVALUABLE,0.0,4.741935483870968,7644,14485,22129,0.9760458848248265,0.9530297496444742,-7.753074204921722,0,0.7079398074924308,15666,31,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9902680553184224,P0_Quake_Smart-seq2_s101_DEPTH_SHUFFLED_CL,101,0.0097319446815776,b44f7da30b98fde99763e41ac9f7755bffd0d29ca8b48f4c579e2174bd6e8ea8,COMPLETE,0.9206328148320122,0.8859313162262223,0.9581636175353815,5857,13879,0
7.632307386398315,GENERIC_STAR,0.0,0.8264674681323274,Quake_Smart-seq2,,0.23116169544740972,616,1767,5.0,0.8416421856160217,0.8656591364067141,,0.8433080955197332,1.0,0.8608493091933853,0.7605965463108321,5814,0.11300844205679202,0.7688383045525903,0,0,15636,31,0.0,,0,0,15636,,,,not_applicable_synthetic,,4.838709677419355,7644,14485,22129,0.977143216437853,0.9548095957004187,-7.632307386398315,0,0.7065841203850152,15636,31,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9892802450229708,P0_Quake_Smart-seq2_s101_GENERIC_STAR,101,0.010719754977029096,b44f7da30b98fde99763e41ac9f7755bffd0d29ca8b48f4c579e2174bd6e8ea8,COMPLETE,0.9208857607649148,0.8869915579432079,0.9574732481877805,5877,13869,0
7.863010346889496,REAL_CL,0.3216487972890395,0.3656778055341567,Wagner,0.0,0.424446583253128,328,2646,10.2,0.44953607320939587,0.15441006720702438,,0.450659232501543,1.0,0.5870972758049702,0.5651267244145011,3523,0.14699183378701183,0.575553416746872,5790,8,18001,20,0.4,0.08760624409755013,5790,1577,18001,3.219516407599309,0.2723661485319516,0.39956414513608185,EVALUABLE,1577.0,5.1,6234,15683,21917,0.9850130898255264,0.9607272472531915,-7.863010346889496,21,0.8213259113929826,18001,20,4a54db2e65aca5f059c04ec44920666a6c0592f297840c748b0f10e40b942412,,0.9818840579710145,P0_Wagner_s101_REAL_CL,101,0.018115942028985508,4de6c49ee8c28a1cc36c4828d417abc5d8d5e3ad8e528c6d84c053ce6fe09f94,COMPLETE,0.9117088231801449,0.8530081662129881,0.9790856341261238,3588,15355,0
