dataset,contrast,endpoint,n_paired_seeds,effect,seed_sd,status
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,threshold_precision,4,0.012894655834985363,0.008573429213364316,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,threshold_recall,4,-0.0013870853500177471,0.004864812764096687,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,threshold_recall,4,0.0005999414691249538,0.00019338823140769223,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,threshold_recall,4,0.0016223679668622704,0.0012368983684617565,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,threshold_recall,4,0.0021201300771536424,0.0013659593422111426,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,threshold_recall,4,5.732761585913737e-06,1.1465523171827474e-05,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,threshold_f1,4,0.009983982469167457,0.008899820537633427,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,threshold_f1,4,0.0006409450024896235,0.0006350909669218191,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,threshold_f1,4,0.0011018027232973515,0.0007421427896650365,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,threshold_f1,4,-0.002074629450329213,0.0024052604686445656,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,threshold_f1,4,0.0071911154197076554,0.004816870981173953,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ari,4,-0.03613205437835128,0.011101884167196974,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ari,4,-0.011025154811718826,0.03528726218722095,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ari,4,-0.0002572561455979616,0.007282015551714303,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ari,4,0.004456475180167858,0.017006498147681015,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_ari,4,-0.008487985517632815,0.04627385278466602,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_nmi,4,-0.01925456546434931,0.011727493872962881,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_nmi,4,-0.006957861355709416,0.008664561702864006,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_nmi,4,-0.0011020804872998724,0.003095132026462016,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_nmi,4,0.007415053703505162,0.010007374907187708,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,full_prednovel_nmi,4,-0.008001210596056157,0.0238114819752545,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,lcc_yield,4,0.14793478260869566,0.0375069598433007,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,lcc_yield,4,-0.007352941176470588,0.014705882352941175,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,lcc_yield,4,0.0,0.0,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,lcc_yield,4,0.020995670995670998,0.04535962052727396,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,lcc_yield,4,0.09032091097308487,0.04478447197902014,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,assigned_cell_coverage,4,0.13811373967071458,0.02045046306775649,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,assigned_cell_coverage,4,-0.00018778838931215796,0.0003755767786243159,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,assigned_cell_coverage,4,0.0,0.0,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,assigned_cell_coverage,4,0.049677103182254725,0.03735251353183241,FOUR_SEEDS_COMPLETE
Zeisel_2018,REAL_CL-DEPTH_SHUFFLED_CL,assigned_cell_coverage,4,0.02596683063117672,0.002972650957556353,FOUR_SEEDS_COMPLETE
Cao,REAL_CL-DEPTH_SHUFFLED_CL,lineage_U,4,0.14706194957811194,0.02438116125171521,FOUR_SEEDS_COMPLETE
Quake_10x,REAL_CL-DEPTH_SHUFFLED_CL,lineage_U,4,0.0,0.0,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,REAL_CL-DEPTH_SHUFFLED_CL,lineage_U,4,0.0,0.0,FOUR_SEEDS_COMPLETE
Wagner,REAL_CL-DEPTH_SHUFFLED_CL,lineage_U,4,0.07132410919531237,0.008922766892028311,FOUR_SEEDS_COMPLETE
